,TaMin_2m,TaMax_2m,RHMin_2m,RHMax_2m,WndAveSpd_3m,Solar_2m_Avg,Rain_1m_Tot,hour,date
2023-04-01 11:00:00,7.146,10.25,33.93,48.13,2.6695166666666665,668.4633333333334,0.0,11,2023-04-01
2023-04-01 12:00:00,9.97,13.07,26.33,35.85,2.2029,786.7866666666666,0.0,12,2023-04-01
2023-04-01 13:00:00,12.45,16.26,20.23,27.82,3.3697,826.815,0.0,13,2023-04-01
2023-04-02 11:00:00,16.12,17.57,24.77,28.29,6.361400000000001,658.5216666666668,0.0,11,2023-04-02
2023-04-02 12:00:00,16.49,18.81,22.74,26.32,6.13535,767.0083333333333,0.0,12,2023-04-02
2023-04-02 13:00:00,17.05,19.17,22.06,25.27,5.175633333333334,838.7666666666667,0.0,13,2023-04-02
2023-04-03 11:00:00,7.708,9.5,33.49,36.47,6.798383333333334,680.5166666666667,0.0,11,2023-04-03
2023-04-03 12:00:00,8.69,10.92,33.25,36.87,6.323883333333333,783.0483333333334,0.0,12,2023-04-03
2023-04-03 13:00:00,10.3,12.48,31.86,36.36,4.536600000000001,832.635,0.0,13,2023-04-03
2023-04-04 11:00:00,-2.443,-0.645,82.3,93.3,5.683766666666667,202.34,0.0,11,2023-04-04
2023-04-04 12:00:00,-1.362,-0.224,79.15,84.0,5.604216666666667,189.94833333333332,0.0,12,2023-04-04
2023-04-04 13:00:00,-1.742,-0.556,78.07,82.4,5.459966666666667,164.1616666666667,0.0,13,2023-04-04
2023-04-05 11:00:00,-1.552,0.42,41.93,49.46,6.037533333333333,633.1783333333333,0.0,11,2023-04-05
2023-04-05 12:00:00,-1.385,2.029,39.55,47.24,6.729233333333334,720.1033333333332,0.0,12,2023-04-05
2023-04-05 13:00:00,0.603,3.204,35.44,41.68,6.64935,830.2116666666666,0.0,13,2023-04-05
2023-04-06 11:00:00,7.433,9.51,35.9,40.41,5.80095,617.2316666666667,0.0,11,2023-04-06
2023-04-06 12:00:00,8.31,10.35,29.46,37.99,5.6777500000000005,582.8383333333334,0.0,12,2023-04-06
2023-04-06 13:00:00,8.31,10.68,28.41,38.77,5.792383333333333,564.5550000000001,0.0,13,2023-04-06
2023-04-07 11:00:00,9.93,13.76,21.26,26.62,7.26255,707.6083333333333,0.0,11,2023-04-07
2023-04-07 12:00:00,13.14,16.74,17.39,22.14,7.091816666666667,810.9966666666667,0.0,12,2023-04-07
2023-04-07 13:00:00,15.88,18.2,16.0,18.41,7.485600000000001,856.55,0.0,13,2023-04-07
2023-04-08 11:00:00,12.7,17.02,17.26,23.29,4.122283333333333,702.9066666666666,0.0,11,2023-04-08
2023-04-08 12:00:00,16.07,19.23,16.04,18.95,4.65565,778.2233333333334,0.0,12,2023-04-08
2023-04-08 13:00:00,18.37,21.43,13.43,17.19,5.462866666666667,761.4866666666666,0.0,13,2023-04-08
2023-04-09 11:00:00,16.73,19.57,22.19,29.78,3.667133333333333,721.5516666666666,0.0,11,2023-04-09
